year,rank,company,revenue ($ millions),profit ($ millions)
1955,270,Scovill,111.0,4.4
1955,271,Cincinnati Milacron,110.5,9.3
1955,272,Parke; Davis,109.9,10.5
1955,273,Abex,109.9,4.3
1955,274,Budd,109.5,9.6
1955,275,Anaconda Wire & Cable,108.7,4.7
1955,276,Fairbanks; Morse,108.0,2.5
1955,277,CVS,107.9,6.0
1955,278,Allied Mills,106.7,3.2
1955,279,Bridgeport Brass,106.0,5.1
1955,280,Spencer Kellogg & Sons,105.7,2.6
1955,281,Union Camp,105.5,10.8
1955,282,GAF,105.0,2.5
1955,283,Fairmont Foods,104.6,0.8
1955,284,WestPoint Stevens,104.5,4.1
1955,285,Colorado Milling & Elevator,104.1,1.1
1955,286,Anchor Hocking,103.7,5.5
1955,287,Rohr,101.6,3.5
1955,288,Garrett,101.2,2.8
1955,289,Blaw-Knox,101.1,4.1
1955,290,Diamond International,100.8,5.6
1955,291,Schlitz Brewing,100.0,N.A.
1955,292,Textron,99.7,1.3
1955,293,Lion Oil,98.6,11.1
1955,294,Sharon Steel,98.2,3.1
1955,295,Pacific Vegetable Oil,97.9,N.A.
1955,296,GK Technologies,97.4,5.2
1955,297,Liebmann Breweries,96.0,N.A.
1955,298,Ward Foods,95.2,1.5
1955,299,St. Joseph Lead,95.0,7.5
1955,300,Flintkote,94.8,5.1
1955,301,Interstate Brands,94.2,3.2
1955,302,Imcera Group,93.6,6.0
1955,303,Maxus Energy,93.5,5.5
1955,304,Chemetron,93.4,5.2
1955,305,York International,93.3,2.9
1955,306,Kendall,93.2,4.2
1955,307,Squibb,93.0,3.4
1955,308,Stewart-Warner,92.9,2.8
1955,309,Case,92.4,-0.5
1955,310,Ex-Cell-O,92.3,8.8
1955,311,Du Mont (Allen B.) Labs.,91.9,0.9
1955,312,U.S. Pipe & Foundry,91.5,9.0
1955,313,Fibreboard,91.5,5.5
1955,314,Clark Equipment,91.1,5.7
1955,315,Plymouth Oil,90.9,6.8
1955,316,Collins Radio,90.3,3.4
1955,317,Sunbeam/Oster,90.1,6.9
1955,318,Inmont,89.8,3.3
1955,319,Amsted Industries,89.0,3.6
1955,320,Abbott Laboratories,88.1,8.7
1955,321,Yale & Towne Manufacturing,87.9,1.8
1955,322,Servel,87.8,-8.2
1955,323,Long-Bell Lumber Co.,87.7,3.7
1955,324,Motor Products,87.0,-1.1
1955,325,ITT Rayonier,86.9,11.9
1955,326,Best Foods,86.9,5.6
1955,327,Gaylord Container,86.5,7.0
1955,328,Virginia-Carolina Chemical,85.4,3.6
1955,329,Beaunit,85.3,4.5
1955,330,Pepperell Manufacturing,85.3,2.4
1955,331,Amerada Hess,85.0,19.8
1955,332,Texasgulf,84.6,30.5
1955,333,Lone Star Industries,84.4,12.6
1955,334,Royal McBee,84.4,2.8
1955,335,Eagle-Picher Industries,83.2,2.4
1955,336,Wm. Wrigley Jr.,82.6,11.4
1955,337,Stauffer Chemical,82.6,5.7
1955,338,Wagner Electric,82.2,1.9
1955,339,Marshall-Wells,81.9,1.5
1955,340,Dan River,81.8,2.8
1955,341,Keystone Consolidated Industries,81.1,5.7
1955,342,Maytag,81.1,6.7
1955,343,City Products,80.8,3.5
1955,344,Thomas J. Lipton,80.8,3.1
1955,345,Emerson Radio & Phonograph,80.6,1.9
1955,346,Cluett Peabody,80.4,3.0
1955,347,Hazel-Atlas Glass,79.2,3.6
1955,348,Gerber Products,78.9,3.5
1955,349,Great Western Sugar,78.5,4.4
1955,350,Tobin Packing,78.5,1.0
1955,351,Beech Aircraft,78.0,3.4
1955,352,ESB,77.7,7.8
1955,353,Minneapolis-Moline,77.4,N.A.
1955,354,Rockwell Manufacturing,76.5,5.7
1955,355,Ruberoid,76.4,4.6
1955,356,Paccar,76.4,2.4
1955,357,Butler Manufacturing,76.2,3.3
1955,358,Superior Oil,76.1,10.4
1955,359,Olivetti Underwood,76.0,1.2
1955,360,Certainteed,75.8,5.3
1955,361,National Container,75.6,3.5
1955,362,Lukens Steel,75.0,2.0
1955,363,American Bosch Arma,74.4,2.6
1955,364,PepsiCo,74.2,6.2
1955,365,Stanley Works,73.8,3.9
1955,366,New York Shipbuilding,73.8,2.4
1955,367,Glen Alden,73.5,0.2
1955,368,Outboard Marine,73.4,5.5
1955,369,Hines (Edward) Lumber,73.3,3.7
1955,370,Shoe Corp. of America,73.2,2.3
1955,371,Standard Coil Products,72.9,2.9
1955,372,Norris-Thermador,72.6,2.9
1955,373,American Chain & Cable,72.2,3.5
1955,374,Carborundum,71.9,3.3
1955,375,Interlake,71.8,3.7
1955,376,Riegel Textile,71.0,1.3
1955,377,Todd Shipyards,70.4,0.3
1955,378,Cleveland-Cliffs,70.4,7.1
1955,379,Minnesota & Ontario Paper,70.1,6.1
1955,380,McGraw-Hill,70.0,5.9
1955,381,Pocahontas Fuel,69.5,1.7
1955,382,Granite City Steel,69.3,4.0
1955,383,Remington Arms,69.0,7.5
1955,384,Bigelow-Sanford,68.2,0.1
1955,385,H.K. Porter,68.1,3.2
1955,386,Bliss (E.W.),68.0,3.3
1955,387,Falstaff Brewing,67.8,3.0
1955,388,I-T-E Imperial,67.7,1.6
1955,389,Canada Dry,67.4,2.4
1955,390,American Optical,67.3,2.2
1955,391,American Agricultural Chemical,67.2,4.6
1955,392,Brown Co.,67.0,3.4
1955,393,Raybestos-Manhattan,66.8,2.8
1955,394,Norton Simon,66.7,1.6
1955,395,Hartmarx,66.6,1.2
1955,396,Savannah Sugar Refining,66.6,1.6
1955,397,Bucyrus-Erie,66.0,4.5
1955,398,Industrial Rayon,65.9,7.4
1955,399,Handy & Harman,65.8,0.6
1955,400,AM International,65.4,4.9
1955,401,Richardson-Vicks,65.4,5.9
1955,402,US Pharmaceuticals,65.4,9.3
1955,403,Interlake Iron,65.2,3.1
1955,404,Solar Aircraft,65.1,2.0
1955,405,Tennessee Corp.,64.9,6.5
1955,406,Crowell-Collier Publishing,64.8,-2.4
1955,407,American Zinc; Lead & Smelting,64.5,1.8
1955,408,Georgia-Pacific,64.3,1.8
1955,409,International Silver,64.1,3.2
1955,410,Niles-Bement-Pond,63.6,4.3
1955,411,Stromberg-Carlson,63.5,2.0
1955,412,Houdaille Industries,63.1,1.2
1955,413,Magnavox,63.0,2.1
1955,414,Joy Technologies,62.8,3.6
1955,415,Joslyn Manufacturing & Supply,62.7,2.3
1955,416,Kroehler Manufacturing,62.7,2.3
1955,417,Joy Global,62.5,2.6
1955,418,Daystrom,62.5,1.5
1955,419,Bristol-Myers Squibb,62.4,3.6
1955,420,Celotex,62.3,3.2
1955,421,Lees (James) & Sons,62.2,2.8
1955,422,Calumet & Hecia,61.4,2.2
1955,423,Burrus Mills,61.0,1.2
1955,424,Bibb Manufacturing,60.8,1.1
1955,425,U.S. Industries,60.6,1.6
1955,426,Cuban Atlantic Sugar,60.5,2.7
1955,427,Dole,60.1,1.9
1955,428,Elgin National Watch,60.1,1.6
1955,429,Lehigh Portland Cement,59.7,8.0
1955,430,American Enka,59.7,5.0
1955,431,Ekco Products,59.7,4.6
1955,432,LTV,59.2,2.9
1955,433,Clevite,59.2,2.7
1955,434,Cummins,59.2,2.9
1955,435,Ideal Basic Industries,59.0,11.1
1955,436,Robertshaw Controls,58.2,3.7
1955,437,American Forest Products,58.2,1.6
1955,438,Pennwalt Corp,58.1,3.4
1955,439,United Engineering & Foundry,58.1,3.4
1955,440,Atlas Powder,57.6,2.6
1955,441,Harbison-Walker Refractories,57.5,4.5
1955,442,Lily-Tulip Cup,57.4,4.7
1955,443,Freeport Sulphur,57.3,10.1
1955,444,Gould-National Batteries,57.2,2.7
1955,445,Mohasco,57.0,0.8
1955,446,Times Mirror,56.7,1.9
1955,447,National Automotive Fibers,56.7,-0.5
1955,448,Stanley Home Products,56.6,3.1
1955,449,Continental Foundry & Machine,56.6,3.5
1955,450,Dayco,55.9,1.2
1955,451,Square D,55.9,4.7
1955,452,Publicker Industries,55.5,2.3
1955,453,Armstrong Rubber,55.4,1.7
1955,454,Godchaux Sugars,55.3,0.5
1955,455,Avon Products,55.1,4.9
1955,456,Carey (Philip) Manufacturing,54.8,2.5
1955,457,Anderson-Prichard Oil,54.7,3.3
1955,458,Midland-Ross,54.6,2.7
1955,459,P.R. Mallory,54.6,1.1
1955,460,Consolidated Papers,54.4,4.5
1955,461,Oxford Paper,54.2,3.4
1955,462,Lear,54.2,2.2
1955,463,Cutler-Hammer,54.2,4.1
1955,464,Sutherland Paper,54.0,3.9
1955,465,Gilfillan Bros.,54.0,N.A.
1955,466,USM,53.9,8.0
1955,467,Bates Manufacturing,53.9,1.8
1955,468,Motor Wheel,53.9,1.7
1955,469,Reeves Brothers,53.9,1.1
1955,470,Congoleum,53.8,1.7
1955,471,Harshaw Chemical,53.6,1.6
1955,472,Young (L.A.) Spring & Wire,53.5,1.3
1955,473,Barium Steel,53.5,-0.4
1955,474,Arvin Industries,53.4,2.2
1955,475,Climax Molybdenum,53.2,15.6
1955,476,Erwin Mills,53.1,-0.9
1955,477,S & W Fine Foods,53.1,0.5
1955,478,Columbian Carbon,52.9,4.6
1955,479,South Penn Oil,52.6,5.1
1955,480,National Homes,52.5,2.4
1955,481,Crown Central,52.4,1.4
1955,482,Udylite,51.9,0.8
1955,483,Bird & Son,51.7,1.6
1955,484,Detroit Steel,51.7,1.2
1955,485,Mullins Manufacturing,51.7,2.3
1955,486,Commercial Solvents,51.6,2.7
1955,487,Fuller Brush,51.5,2.3
1955,488,Liquid Carbonic,51.4,2.8
1955,489,Consolidated Cigar,51.0,1.8
1955,490,Langendorf United Bakeries,50.7,0.9
1955,491,Truax-Traer Coal,50.5,2.5
1955,492,Mansfield Tire & Rubber,50.4,0.9
1955,493,Blue Bell,50.3,1.7
1955,494,Warner-Lambert,50.3,4.3
1955,495,Trane,50.2,3.4
1955,496,Signal Oil Gas,50.2,9.3
1955,497,Bullard,50.2,4.8
1955,498,Cuban-American Sugar,50.1,0.7
1955,499,Goodall-Sanford,49.7,-2.7
1955,500,Copperweld Steel,49.7,0.9
1956,1,General Motors,12443.3,1189.5
1956,2,Exxon Mobil,6272.4,709.3
1956,3,Ford Motor,5594.0,437.0
1956,4,U.S. Steel,4097.7,370.1
1956,5,Chrysler,3466.2,100.1
1956,6,General Electric,3095.4,200.9
1956,7,Esmark,2404.1,22.9
1956,8,Bethlehem Steel,2096.6,180.2
1956,9,Armour,1967.7,10.1
1956,10,DuPont,1909.2,431.6
1956,11,Gulf Oil,1895.7,218.1
1956,12,AT&T Technologies,1853.3,63.3
1956,13,Mobil,1839.3,207.4
1956,14,Amoco,1781.3,157.1
1956,15,Texaco,1767.3,262.7
1956,16,Shell Oil,1484.1,125.5
1956,17,CBS,1441.0,42.8
1956,18,Goodyear Tire & Rubber,1372.2,59.7
1956,19,ChevronTexaco,1277.8,231.1
1956,20,Kraft,1260.2,40.3
1956,21,Republic Steel,1188.6,86.3
1956,22,Union Carbide,1187.2,140.8
1956,23,Navistar International,1165.8,55.5
1956,24,Firestone Tire & Rubber,1114.9,55.4
1956,25,Sinclair Oil,1110.1,80.7
1956,26,RCA,1055.3,47.5
1956,27,Procter & Gamble,965.8,57.5
1956,28,Uniroyal,925.5,33.6
1956,29,Citgo Petroleum,923.2,49.3
1956,30,ConocoPhillips,910.8,95.2
1956,31,Douglas Aircraft,867.5,28.2
1956,32,Boeing,853.8,30.4
1956,33,Alcoa,845.0,87.6
1956,34,General Foods,824.8,31.7
1956,35,Rockwell Automation,816.7,32.3
1956,36,Borden Chemical,810.1,21.7
1956,37,International Paper,796.4,83.1
1956,38,Goodrich,755.0,46.7
1956,39,American Can,714.8,36.0
1956,40,Eastman Kodak,714.4,85.6
1956,41,United Technologies,697.9,31.1
1956,42,Jones & Laughlin Steel,696.5,50.1
1956,43,ARMCO,692.7,64.4
1956,44,Sperry,688.0,44.0
1956,45,General Dynamics,687.3,21.3
1956,46,Lockheed Martin,673.6,17.3
1956,47,Continental Group,666.3,24.2
1956,48,Sunoco,660.3,48.3
1956,49,AMAX,660.2,19.8
1956,50,Ryerson Tull,659.7,52.5
1956,51,Wilson,650.5,4.6
1956,52,Anaconda,636.2,65.3
1956,53,Honeywell Intl.,628.5,52.1
1956,54,National Intergroup,622.0,48.3
1956,55,Youngstown Sheet & Tube,617.4,41.7
1956,56,Fortune Brands,585.9,51.7
1956,57,PPG Industries,582.0,61.4
1956,58,Bendix,567.2,25.9
1956,59,Intl. Business Machines,563.5,55.9
1956,60,Olin,560.5,44.6
1956,61,BorgWarner,552.2,41.1
1956,62,Kennecott,548.3,125.5
1956,63,Republic Aviation,547.4,14.7
1956,64,Asarco,540.5,33.5
1956,65,Allis-Chalmers,535.1,24.8
1956,66,NL Industries,533.7,47.9
1956,67,Conoco,528.9,46.4
1956,68,Caterpillar,523.9,34.8
1956,69,Monsanto,522.3,42.2
1956,70,Burlington Industries Equity,515.2,16.4
1956,71,General Mills,513.7,12.4
1956,72,Atlantic Richfield,513.0,39.5
1956,73,Curtiss-Wright,508.7,35.1
1956,74,Pure Oil,485.1,35.2
1956,75,Studebaker,480.0,-29.7
1956,76,Tidewater Oil,478.8,37.8
1956,77,Dow Chemical,470.7,37.4
1956,78,Nabisco Group Holdings,466.3,53.3
1956,79,American Cyanamid,451.1,38.7
1956,80,ITT Industries,448.4,23.1
1956,81,American Motors,441.1,-7.0
1956,82,Sealed Air,427.1,18.8
1956,83,Crown Zellerbach,414.1,44.1
1956,84,Standard Brands,400.7,10.6
1956,85,Nabisco Brands,389.6,18.3
1956,86,Foremost Dairies,388.1,8.7
1956,87,Ralston Purina,385.5,12.6
1956,88,Reynolds Metals,384.9,34.3
1956,89,Campbell Soup,377.6,29.1
1956,90,Philco,373.4,8.4
1956,91,Owens-Illinois,370.3,27.0
1956,92,Merritt-Chapman & Scott,360.3,10.7
1956,93,Unocal,359.5,30.5
1956,94,Singer,354.1,18.1
1956,95,Phelps Dodge,353.4,72.3
1956,96,United Merchants & Mfrs.,341.8,15.5
1956,97,Pillsbury,341.1,5.3
1956,98,BP America,339.7,23.0
1956,99,American Standard,339.6,22.6
1956,100,Deere,339.6,28.3
1956,101,Hormel Foods,336.6,3.8
1956,102,Morrell (John),336.1,2.7
1956,103,Hygrade Food Products,334.3,2.3
1956,104,Crane,331.4,9.0
1956,105,Pullman,330.4,9.6
1956,106,Carnation,329.2,8.1
1956,107,Amstar,325.9,8.3
1956,108,J.P. Stevens,321.1,8.5
1956,109,Weyerhaeuser,316.7,49.2
1956,110,Otis Elevator,316.6,13.8
1956,111,Cudahy,308.1,2.7
1956,112,Sylvania Electric Products,307.4,13.8
1956,113,NCR,301.2,15.4
1956,114,Avco,299.3,0.8
1956,115,Sunray DX Oil,298.4,39.5
1956,116,Liggett Group,296.1,26.7
1956,117,Electric Autolite,296.0,10.1
1956,118,GenCorp,295.7,9.7
1956,119,Bestfoods,290.2,20.7
1956,120,Beatrice,287.4,5.6
1956,121,TRW,286.2,11.3
1956,122,Colgate-Palmolive,285.6,14.0
1956,123,Manville,284.7,23.5
1956,124,Northrop Grumman,283.4,11.7
1956,125,3M,281.9,34.7
1956,126,Aeroquip-Vickers,281.5,36.0
1956,127,Whirlpool,280.4,14.1
1956,128,Quaker Oats,276.4,10.1
1956,129,Rockwell-Standard,271.9,17.3
1956,130,Martin Marietta,271.9,13.3
1956,131,Kaisertech,268.1,28.6
1956,132,FMC,264.6,14.9
1956,133,Furniture Brands Intl.,262.4,10.4
1956,134,Libby; McNeill & Libby,261.9,5.4
1956,135,National Supply,259.8,11.4
1956,136,American Viscose,259.4,24.7
1956,137,USG,258.7,40.4
1956,138,CF&I Steel,257.5,10.9
1956,139,Marathon Oil,257.2,41.3
1956,140,St. Regis,257.1,19.0
1956,141,Allegheny International,255.2,15.0
1956,142,Rath Packing,254.0,2.6
1956,143,Coca-Cola,252.9,27.5
1956,144,Armstrong Holdings,249.4,14.5
1956,145,Wheeling Pittsburgh,246.7,17.3
1956,146,Scott Paper,246.7,21.3
1956,147,Ashland,245.9,10.1
1956,148,Honeywell,244.5,19.3
1956,149,Richfield Oil,244.4,29.6
1956,150,Continental Baking,244.0,7.7
1956,151,Revere Copper & Brass,242.7,11.3
1956,152,Crucible Steel,237.7,13.2
1956,153,A.O. Smith,237.1,6.0
1956,154,Wyeth,234.5,20.5
1956,155,H.J. Heinz,234.2,8.8
1956,156,Del Monte Foods,233.8,8.9
1956,157,Babcock & Wilcox,233.3,13.5
1956,158,Skelly Oil,231.6,32.2
1956,159,J.E. Seagram,228.9,22.3
1956,160,Koppers,228.5,10.4
1956,161,M. Lowenstein,228.2,10.8
1956,162,Motorola,226.7,8.5
1956,163,Hercules,226.7,19.0
1956,164,Kimberly-Clark,224.0,20.3
